vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
JN8BT3CAXPW008690,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,30980,Automatic,SL,2023,Red,Gray
1N4BL4DV9MN345510,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,16899,Automatic,2.5 SV,2021,Black,Gray
JN1BJ1CR7KW620398,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,SUV,4,0,17401,Automatic,SL,2019,Silver,Gray
JN1BJ1AV6NW344719,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,Sport Utility,4,0,19229,Automatic,S,2022,Gray,Gray
3N1AB7AP1JY342554,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,0,Automatic,SV,2018,Black,Gray
1N4BL4BV9LC115754,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,18998,Automatic,2.5 S,2020,Gray,Gray
JN8AY2ND9K9092670,Nissan Armada,20000505,Nissan,Armada,Sport Utility,4,0,19999,Automatic,SV,2019,Black,Black
KNMAT2MT0JP506626,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,20998,Automatic,S,2018,Black,Black
3N1CN7AP9FL838996,Nissan Versa,20000521,Nissan,Versa,Sedan,4,0,11599,Automatic,1.6 S+,2015,Gray,Black
5N1AZ2MH3HN104045,Nissan Murano,20000511,Nissan,Murano,SUV,4,0,16995,Automatic,SV,2017,Gray,Gray
3N1AB8CV6PY259986,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,20000,Automatic,SV,2023,White,Gray
3N1CE2CP4FL368599,Nissan Versa,20000521,Nissan,Versa,Hatchback,4,0,11998,Manual,S,2015,White,Black
1N6DD21S21C318037,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,2,0,6999,Manual,XE,2001,Beige,Beige
1N6AD0ER9JN747047,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,20496,Automatic,SV,2018,White,Gray
5N1AZ2BSXPC114189,Nissan Murano,20000511,Nissan,Murano,SUV,4,0,28309,Automatic,SV,2023,Silver,Gray
1N4BL4CV4MN346100,Nissan Altima,20000504,Nissan,Altima,sedan,4,4,23686,Automatic,2.5 SR,2021,Pearl White Tricoat,
3N1AB7AP1EY335562,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,5499,Automatic,SV,2014,Silver,Gray
JN8AS5MT1FW153979,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,7888,Automatic,S,2015,Silver,Gray
3N1AB8CV9LY212431,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,18750,Automatic,SV,2020,Gray,Gray
5N1AR2MM5GC651437,Nissan Pathfinder,20000512,Nissan,Pathfinder,SUV,4,0,8995,Automatic,S,2016,Black,Gray
5N1BT3BB4NC677781,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,23999,Automatic,SV,2022,Gray,Gray
3N1AB7AP6FY298963,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,9995,Automatic,SR,2015,Gray,Black
5N1AZ2BJ6MC142722,Nissan Murano,20000511,Nissan,Murano,SUV,4,0,22998,Automatic,SV,2021,Gray,Gray
JN8AS5MV4DW638129,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,8395,Automatic,S,2013,Silver,Black
1N4BL4DV1PN350401,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,24998,Automatic,2.5 SV,2023,Silver,Black
1N6ED0EA1LN726353,Nissan Frontier,20000506,Nissan,Frontier,Pickup Truck,4,0,20949,Automatic,SV,2020,White,Gray
5N1BT3BA3PC677023,Nissan Rogue,20000515,Nissan,Rogue,SUV,4,0,24591,Automatic,SV,2023,Silver,Gray
JN1BJ1AV9MW564032,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,Sport Utility,4,0,18645,Automatic,S,2021,Gray,Gray
5N1AT3AA5MC760624,Nissan Rogue,20000515,Nissan,Rogue,Sport Utility,4,0,21995,Automatic,S,2021,White,Gray
JN8AF5MR2ET355335,Nissan Juke,20000991,Nissan,Juke,SUV,4,0,8795,Automatic,S,2014,White,Black
1N4AL3AP4JC236908,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,8999,Automatic,2.5 S,2018,,Gray
3N1AB7APXHY369150,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,11000,Automatic,SR,2017,Gray,Gray
5N1DR2BM9LC584206,Nissan Pathfinder,20000512,Nissan,Pathfinder,Sport Utility,4,0,15999,Automatic,SV,2020,Silver,Black
1N4AL3AP9FN367330,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,9995,Automatic,2.5 SL,2015,White,Black
5N1DR2BM4LC589474,Nissan Pathfinder,20000512,Nissan,Pathfinder,SUV,4,0,22998,Automatic,SV,2020,Silver,Gray
3N1AB7AP5HY380900,Nissan Sentra,20000516,Nissan,Sentra,Sedan,4,0,13999,Automatic,S,2017,Gray,Gray
1N6AA1EF9MN502256,Nissan Titan,20000517,Nissan,Titan,Pickup Truck,4,0,30000,Automatic,SV,2021,White,Black
JN1BJ1AV3MW561708,Nissan Rogue Sport,20001402,Nissan,Rogue Sport,SUV,4,0,19988,Automatic,S,2021,Gray,Black
1N4AL3AP9FC568785,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,8995,Automatic,2.5 S,2015,Silver,Black
1N4BL4CV5MN372950,Nissan Altima,20000504,Nissan,Altima,Sedan,4,0,18998,Automatic,2.5 SR,2021,Red,Orange
