vin,name,model_id,make_name,model_name,body_style,door_count,engine_cylinders,price,transmission,trim,year,normalized_color_exterior,normalized_color_interior
WB523CF09RCN35344,BMW iX,20001847,BMW,iX,SUV,4,0,67777,Automatic,xDrive50,2024,Black,Black
5UXKR6C57E0J71875,BMW X5,20000035,BMW,X5,SUV,4,0,18995,Automatic,xDrive50i,2014,White,
5UXJU4C05N9J08787,BMW X5,20000035,BMW,X5,Sport Utility,4,0,57999,Automatic,M50i,2022,Gray,Beige
5UXKR0C5XJ0X83995,BMW X5,20000035,BMW,X5,SUV,4,0,19988,Automatic,xDrive35i,2018,Black,Black
5YMCY0C05M9F16920,BMW X6,20000748,BMW,X6,SUV,4,0,76995,Automatic,(A8),2021,Gray,Black
WBY8P2C00M7H93773,BMW i3,20001124,BMW,i3,Hatchback,4,0,20996,Automatic,120Ah,2021,Black,Brown
5UXTY3C07M9E58124,BMW X3,20000034,BMW,X3,Sport Utility,4,0,29995,Automatic,sDrive30i,2021,Silver,Black
5UX53DP08R9T48971,BMW X3,20000034,BMW,X3,Sport Utility,4,0,49995,Automatic,xDrive30i,2024,Black,Red
WBX73EF04P5V97440,BMW X1,20000934,BMW,X1,SUV,4,0,42495,Automatic,xDrive28i,2023,White,
WBXJG7C04M5S26381,BMW X1,20000934,BMW,X1,SUV,4,0,24881,Automatic,sDrive28i,2021,Silver,Black
WBY1Z4C59EV274492,BMW i3,20001124,BMW,i3,Hatchback,4,0,6999,Automatic,w/Range Extender,2014,Silver,Brown
WBX73EF03P5W60138,BMW X1,20000934,BMW,X1,SUV,4,0,38995,Automatic,xDrive28i,2023,Blue,
5UXCW2C09L9A02012,BMW X7,20001703,BMW,X7,Sport Utility,4,0,41998,Automatic,xDrive40i,2020,Red,White
WBS33AY03MFK99932,BMW 3-Series,20000029,BMW,3-Series,Sedan,4,0,77000,Automatic,Competition Sedan,2021,Black,Black
5UXCY6C01N9M27855,BMW X6,20000748,BMW,X6,SUV,4,0,58272,Automatic,xDrive40i,2022,Black,Red
5UXCR4C01M9G29954,BMW X5,20000035,BMW,X5,SUV,4,0,35998,Automatic,sDrive40i,2021,Gray,Black
5YM13EC05P9R48220,BMW X3,20000034,BMW,X3,SUV,4,0,77966,Automatic,AWD,2023,Black,
5UXTY3C01M9H12586,BMW X3,20000034,BMW,X3,SUV,4,0,29499,Automatic,sDrive30i,2021,White,Black
WB523CF04RCN46090,BMW iX,20001847,BMW,iX,Sport Utility,4,0,85000,Automatic,xDrive50,2024,Red,Black
5UXKR2C5XE0C01317,BMW X5,20000035,BMW,X5,Sport Utility,4,0,13750,Automatic,sDrive35i,2014,Black,Black
5UXCR4C04M9G71440,BMW X5,20000035,BMW,X5,Sport Utility,4,0,42999,Automatic,sDrive40i,2021,Blue,Black
5UXCR4C00LLT19714,BMW X5,20000035,BMW,X5,SUV,4,0,35500,Manual,sDrive40i,2020,Black,Black
WBS4Y9C54JAC86612,BMW 4-Series,20001093,BMW,4-Series,Coupe,2,0,50000,Automatic,,2018,Black,Orange
5UX53DP0XN9M26449,BMW X3,20000034,BMW,X3,Sport Utility,4,0,38995,Automatic,xDrive30i,2022,Gray,Black
5UXKR0C53G0S86828,BMW X5,20000035,BMW,X5,SUV,4,0,17970,Automatic,xDrive35i,2016,White,Brown
5UXCR6C56KLL04818,BMW X5,20000035,BMW,X5,Sport Utility,4,0,35995,Automatic,xDrive40i,2019,Black,Black
WBY1Z2C59FV286888,BMW i3,20001124,BMW,i3,Hatchback,4,0,11999,Automatic,,2015,White,Brown
WBXJG7C03M5T12779,BMW X1,20000934,BMW,X1,SUV,4,0,27999,Automatic,sDrive28i,2021,Silver,Black
WBXJG7C04M5S54245,BMW X1,20000934,BMW,X1,SUV,4,0,23992,Automatic,sDrive28i,2021,White,Black
WBAHF3C04PWY13473,BMW Z4,20000037,BMW,Z4,Convertible,2,0,54754,Automatic,sDrive30i,2023,Blue,Black
WB523CF02NCK84418,BMW iX,20001847,BMW,iX,SUV,4,0,71970,Automatic,xDrive50,2022,White,
WBS83CH04MCF83818,BMW 5-Series,20000030,BMW,5-Series,Sedan,4,0,78893,Automatic,,2021,White,White
WB523CF00RCN34602,BMW iX,20001847,BMW,iX,SUV,4,0,67777,Automatic,xDrive50,2024,White,Black
WBS43AZ03PCM82921,BMW 4-Series,20001093,BMW,4-Series,Coupe,2,0,91495,Automatic,,2023,White,Black
5UXKR2C53J0X08311,BMW X5,20000035,BMW,X5,Sport Utility,4,0,21888,Automatic,sDrive35i,2018,Black,Black
WBS33AY05PFP49441,BMW 3-Series,20000029,BMW,3-Series,Sedan,4,0,113765,Automatic,Competition Sedan,2023,Yellow,
5UXCR4C0XP9R27470,BMW X5,20000035,BMW,X5,SUV,4,0,67960,Automatic,sDrive40i,2023,Black,Silver
5UXCX4C5XKLS39000,BMW X7,20001703,BMW,X7,Sport Utility,4,0,40995,Automatic,xDrive50i,2019,Gray,Black
WBS33AZ02RCP07778,BMW 4-Series,20001093,BMW,4-Series,Coupe,2,0,85987,Automatic,,2024,Black,
5UXKR2C59F0H41338,BMW X5,20000035,BMW,X5,SUV,4,0,13800,Automatic,sDrive35i,2015,Black,Black
5UXCX6C08M9H31656,BMW X7,20001703,BMW,X7,Sport Utility,4,0,68884,Automatic,M50i,2021,Black,Black
5UX23EM06P9R50424,BMW X7,20001703,BMW,X7,Sport Utility,4,0,86940,Automatic,xDrive40i,2023,Gray,Brown
WBXYH9C00N5T62936,BMW X2,20001451,BMW,X2,Sport Utility,4,0,26887,Automatic,sDrive28i,2022,White,Black
5UX53DP04P9T26480,BMW X3,20000034,BMW,X3,SUV,4,0,39995,Automatic,xDrive30i,2023,Black,Black
5UXTY3C07LLU72037,BMW X3,20000034,BMW,X3,Sport Utility,4,0,27777,Automatic,sDrive30i,2020,Black,Black
WBSDZ0C08PCL19330,BMW 8-Series,20000033,BMW,8-Series,Convertible,2,0,135000,Manual,Competition Convertible 2D,2023,White,Orange
5UXTY3C00M9D71469,BMW X3,20000034,BMW,X3,SUV,4,0,30865,Automatic,sDrive30i,2021,White,Black
5YM23CS08P9P15913,BMW XM,20001955,BMW,XM,Sport Utility,4,0,129995,Automatic,Sports Activity Vehicle,2023,White,Orange
5UXTY3C0XM9F96093,BMW X3,20000034,BMW,X3,Sport Utility,4,0,31999,Automatic,sDrive30i,2021,Black,Beige
5UXCR4C0XLLE30998,BMW X5,20000035,BMW,X5,Sport Utility,4,0,38998,Automatic,sDrive40i,2020,White,Black
5UXTY3C05M9E42746,BMW X3,20000034,BMW,X3,SUV,4,0,29881,Automatic,sDrive30i,2021,Gray,Black
WBX73EF03P5W65419,BMW X1,20000934,BMW,X1,SUV,4,0,45795,Automatic,xDrive28i,2023,Blue,Black
5YMKW8C33H0U72045,BMW X6,20000748,BMW,X6,Coupe,4,0,38995,Automatic,,2017,White,Red
5UX53DP03P9R67636,BMW X3,20000034,BMW,X3,SUV,4,0,39895,Automatic,xDrive30i,2023,Black,Beige
